subject,open,lineno,NOC,NOL,experience-based,statistics-based,tuning machine
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/conv_lstm3d_test.py,57,43,3,1,1,1
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/stacked_rnn_cells.py,93,46,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/stacked_rnn_cells.py,98,40,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/gru.py,182,41,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/gru.py,287,30,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/rnn.py,260,33,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/rnn.py,431,65,3,1,1,1
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/simple_rnn.py,156,50,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/simple_rnn.py,172,49,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/conv_lstm.py,553,33,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/callback_list.py,37,38,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/early_stopping.py,141,54,1,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/tensorboard_test.py,581,28,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/tensorboard.py,179,36,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/datasets/imdb.py,131,34,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/datasets/reuters.py,120,34,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/legacy/backend.py,304,39,1,0,0,0
